year,num_intro
1865,0
1866,0
1867,0
1868,1
1869,0
1870,1
1871,0
1872,1
1873,0
1874,1
1875,1
1876,0
1877,0
1878,0
1879,2
1880,18
1881,2
1882,2
1883,0
1884,1
1885,0
1886,1
1887,1
1888,0
1889,1
1890,2
1891,0
1892,3
1893,1
1894,1
1895,4
1896,4
1897,3
1898,5
1899,5
1900,4
1901,2
1902,3
1903,2
1904,0
1905,5
1906,7
1907,4
1908,10
1909,3
1910,7
1911,3
1912,4
1913,1
1914,3
1915,4
1916,2
1917,5
1918,5
1919,6
1920,5
1921,13
1922,2
1923,4
1924,2
1925,3
1926,1
1927,3
1928,0
1929,0
1930,1
1931,2
1932,3
1933,1
1934,2
1935,3
1936,1
1937,1
1938,2
1939,2
1940,1
1941,1
1942,3
1943,0
1944,3
1945,0
1946,3
1947,0
1948,1
1949,1
1950,0
1951,1
1952,2
1953,4
1954,3
1955,2
1956,2
1957,0
1958,2
1959,1
1960,3
1961,0
1962,2
1963,0
1964,1
1965,1
1966,1
1967,2
1968,1
1969,0
1970,0
1971,1
1972,0
1973,4
1974,1
1975,2
1976,0
1977,0
1978,5
1979,2
1980,2
1981,0
1982,1
1983,1
1984,1
1985,2
1986,0
1987,0
1988,0
1989,2
1990,0
1991,0
1992,0
1993,1
1994,2
1995,3
1996,2
1997,0
1998,3
1999,4
2000,0
2001,1
2002,3
2003,1
2004,1
2005,2
2006,0
2007,0
2008,1
2009,2
2010,2
2011,3
2012,0
2013,1
2014,1
2015,0
2016,4
2017,1
2018,2
2019,2
2020,1
2021,0
2022,1
2023,1
2024,1
2025,1
