obs,family,species,origin,year
1,Aclerdidae,Aclerda tokionis (Cockerell),PAL,1900
2,Aclerdidae,Nipponaclerda biwakoensis (Kuwana),ORI,2016
3,Asterolecaniidae,Asterodiaspis luteola (Russell),PAL,1915
4,Asterolecaniidae,Asterodiaspis minor (Russell),PAL,1908
5,Asterolecaniidae,Asterodiaspis quercicola (Bouche),PAL,1898
6,Asterolecaniidae,Asterodiaspis variabilis (Russell),PAL,1903
7,Asterolecaniidae,Asterodiaspis variolosa (Ratzeburg),PAL,1879
8,Asterolecaniidae,Asterolecanium epidenri (Bouché),NEO,1941
9,Asterolecaniidae,Bambusaspis bambusicola (Kuwana),ORI,1919
10,Asterolecaniidae,Bambusaspis minuta (Takahashi),ORI,2024
11,Asterolecaniidae,Planchonia arabidis (Signoret),PAL,1925
12,Asterolecaniidae,Planchonia stentae (Brain),AFR,1980
13,Asterolecaniidae,Pollinia pollini (Costa),PAL,1944
14,Asterolecaniidae,Russellaspis pustulans (Cockerell) ,NEO,1882
15,Cerococcidae,Cerococcus deklei Kostarab and Vest,NEO,1927
16,Coccidae,Ceroplastes ceriferus (Fabricius),NEO,1907
17,Coccidae,Ceroplastes cirripediformis Comstock,NEO,1880
18,Coccidae,Ceroplastes dugesii Lichtenstein,NEO,1908
19,Coccidae,Ceroplastes rubens Maskell,AFR,1955
20,Coccidae,Ceroplastes rusci (Linnaeus),AFR,1994
21,Coccidae,Ceroplastes sinensis Del Guercio,NEO,1920
22,Coccidae,Ceroplates stellifer (Westwood),ORI,1953
23,Coccidae,Coccus capparidis (Green),ORI,1974
24,Coccidae,Coccus hesperidum Linnaeus,ORI,1880
25,Coccidae,Coccus longulus (Douglas),ORI,1907
26,Coccidae,Coccus pseudhesperidum (Cockerell),NEO,1923
27,Coccidae,Coccus pseudomagnoliarum (Kuwana),PAL,1910
28,Coccidae,Coccus viridis (Green),AFR,1921
29,Coccidae,Eriopeltis festucae (Boyer de Fonscolombe),PAL,1899
30,Coccidae,Eucalymnatus tessellatus (Signoret),NEO,1897
31,Coccidae,Eulecanium cerasorum (Cockerell),PAL,1909
