year,region,total_observations
1794,New England,1
1828,Florida,1
1838,Florida,1
1859,Florida,1
1868,California,1
1870,California,1
1872,California,1
1874,Plains,1
1875,California,1
1879,Mideast,1
1879,Southeast,1
1880,California,6
1880,Florida,9
1880,Mideast,2
1880,Southeast,1
1881,Mideast,1
1881,Southeast,1
1882,California,1
1882,Florida,1
1884,Mideast,1
1886,California,1
1887,Florida,1
1889,Great Lakes,1
1890,California,1
1890,Florida,1
1892,California,1
1892,Mideast,1
1892,Southeast,1
1893,Southwest,1
1894,Great Lakes,1
1895,Florida,1
1895,Great Lakes,1
1895,Mideast,1
1895,Southeast,1
1896,California,2
1896,Florida,1
1896,Southwest,1
1897,California,3
1898,California,1
1898,Far West,1
1898,Florida,1
1898,Plains,1
1898,Mideast,1
1899,Florida,1
1899,Mideast,2
1899,Southeast,2
1900,California,2
1900,Mideast,1
1900,New England,1
1901,California,1
1901,Mideast,1
1902,Great Lakes,1
1902,Mideast,2
1903,Florida,1
1903,Mideast,1
1905,California,3
1905,Florida,1
1905,Southwest,1
1906,California,3
1906,Florida,2
1906,Mideast,1
1906,Southeast,1
1907,California,1
1907,Florida,2
1907,Mideast,1
1908,California,1
1908,Florida,5
1908,Mideast,3
1908,New England,1
1909,California,1
1909,Florida,1
1909,Mideast,1
1910,California,2
1910,Florida,1
1910,New England,1
1910,Southeast,3
1911,California,1
1911,Florida,1
1911,Southeast,1
1912,California,2
1912,Florida,1
1912,Mideast,1
1913,California,1
1914,California,1
1914,Florida,1
1914,New England,1
1915,California,2
1915,Mideast,2
1916,Florida,1
1916,Mideast,1
1917,California,1
1917,Florida,3
1917,Southwest,1
1918,California,1
1918,Florida,3
1918,Southwest,1
1919,California,1
1919,Florida,3
1919,New England,1
1919,Southeast,1
1920,Florida,4
1920,Southeast,1
1921,California,1
1921,Florida,6
1921,New England,1
1921,Southeast,5
1922,Florida,2
1923,Far West,1
1923,Florida,3
1924,Rocky Mts,1
1924,Southeast,1
1925,California,1
1925,New England,2
1926,California,1
1927,California,1
1927,Florida,1
1927,Southwest,1
1930,California,1
1931,California,2
1932,California,1
1932,Florida,2
1933,Southwest,1
1934,California,2
1935,California,3
1936,California,1
1937,Mideast,1
1938,California,2
1939,California,2
1940,Plains,1
1941,Florida,1
1942,California,1
1942,Florida,1
1942,Southwest,1
1944,California,2
1944,Florida,1
1946,Florida,2
1946,New England,1
1948,California,1
1949,California,1
1951,California,1
1952,California,1
1952,Mideast,1
1953,California,1
1953,Florida,2
1953,Mideast,1
1954,California,3
1955,Florida,2
1956,Florida,2
1958,California,1
1958,Florida,1
1959,Florida,1
1960,California,1
1960,Mideast,1
1960,Southeast,1
1962,Southwest,1
1962,Florida,1
1964,Florida,1
1965,California,1
1966,Florida,1
1967,California,1
1967,Southwest,1
1968,Southwest,1
1971,California,1
1973,California,3
1973,Florida,1
1974,Florida,1
1975,Florida,1
1975,Mideast,1
1978,Florida,3
1978,Mideast,1
1978,Southwest,1
1979,Florida,2
1980,California,1
1980,Florida,1
1982,Florida,1
1983,Florida,1
1984,Florida,1
1985,Florida,2
1989,Mideast,1
1989,Southeast,1
1993,California,1
1994,California,1
1994,Florida,1
1995,Florida,3
1996,Florida,2
1998,Florida,3
1999,California,1
1999,Florida,2
1999,Southeast,1
2001,Florida,1
2002,Florida,3
2003,California,1
2004,Southwest,1
2005,Florida,2
2008,Florida,1
2009,Florida,2
2010,California,1
2010,Florida,1
2011,Florida,3
2013,Florida,1
2014,Florida,1
2016,California,1
2016,Florida,1
2016,Southeast,2
2017,Florida,1
2018,California,1
2018,Florida,1
2019,Florida,2
2020,California,1
2022,Florida,1
2023,Far West,1
2024,Florida,1
2025,Florida,1
