year,num_intro_changepoint,trade_quantity,num_intro_trade,n_regions,total_region_observations,decade
1865,0,,,,,1860
1866,0,,,,,1860
1867,0,,,,,1860
1868,1,,,1.0,1.0,1860
1869,0,,,,,1860
1870,1,,,1.0,1.0,1870
1871,0,,,,,1870
1872,1,,,1.0,1.0,1870
1873,0,,,,,1870
1874,1,,,1.0,1.0,1870
1875,1,,,1.0,1.0,1870
1876,0,,,,,1870
1877,0,,,,,1870
1878,0,,,,,1870
1879,2,,,2.0,2.0,1870
1880,18,,,4.0,18.0,1880
1881,2,,,2.0,2.0,1880
1882,2,,,2.0,2.0,1880
1883,0,,,,,1880
1884,1,,,1.0,1.0,1880
1885,0,,,,,1880
1886,1,,,1.0,1.0,1880
1887,1,,,1.0,1.0,1880
1888,0,,,,,1880
1889,1,,,1.0,1.0,1880
1890,2,,,2.0,2.0,1890
1891,0,,,,,1890
1892,3,,,3.0,3.0,1890
1893,1,,,1.0,1.0,1890
1894,1,,,1.0,1.0,1890
1895,4,,,4.0,4.0,1890
1896,4,,,3.0,4.0,1890
1897,3,,,1.0,3.0,1890
1898,5,,,5.0,5.0,1890
1899,5,,,3.0,5.0,1890
1900,4,,,3.0,4.0,1900
1901,2,,,2.0,2.0,1900
1902,3,,,2.0,3.0,1900
1903,2,,,2.0,2.0,1900
1904,0,,,,,1900
1905,5,,,3.0,5.0,1900
1906,7,,,4.0,7.0,1900
1907,4,,,3.0,4.0,1900
1908,10,,,4.0,10.0,1900
1909,3,,,3.0,3.0,1900
1910,7,,,4.0,7.0,1910
1911,3,,,3.0,3.0,1910
1912,4,,,3.0,4.0,1910
1913,1,,,1.0,1.0,1910
1914,3,,,3.0,3.0,1910
1915,4,,,2.0,4.0,1910
1916,2,,,2.0,2.0,1910
1917,5,,,3.0,5.0,1910
1918,5,,,3.0,5.0,1910
1919,6,,,4.0,6.0,1910
1920,5,,,2.0,5.0,1920
1921,13,,,4.0,13.0,1920
1922,2,,,1.0,2.0,1920
1923,4,,,2.0,4.0,1920
1924,2,,,2.0,2.0,1920
1925,3,,,2.0,3.0,1920
1926,1,,,1.0,1.0,1920
1927,3,,,3.0,3.0,1920
1928,0,,,,,1920
1929,0,,,,,1920
1930,1,,,1.0,1.0,1930
1931,2,,,1.0,2.0,1930
1932,3,,,2.0,3.0,1930
1933,1,,,1.0,1.0,1930
1934,2,,,1.0,2.0,1930
1935,3,,,1.0,3.0,1930
1936,1,,,1.0,1.0,1930
1937,1,,,1.0,1.0,1930
1938,2,,,1.0,2.0,1930
1939,2,,,1.0,2.0,1930
1940,1,,,1.0,1.0,1940
1941,1,,,1.0,1.0,1940
1942,3,,,3.0,3.0,1940
1943,0,,,,,1940
1944,3,,,2.0,3.0,1940
1945,0,,,,,1940
1946,3,,,2.0,3.0,1940
1947,0,,,,,1940
